,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0029950,77.98987978,0.475114715,0.790757907,0.600834606,0.547950153,0.744494028
FBgn0029951,1.375736507,-0.439313475,0.643356853,-0.682845722,0.494704335,NA
FBgn0029952,4.183610356,-0.750400373,0.783392701,-0.957885326,0.338120587,NA
FBgn0029955,73.04157581,-0.100520555,0.83251087,-0.120743835,0.903893937,0.95635361
FBgn0029957,3391.669077,0.349775639,0.262429347,1.332837365,0.182585181,0.396577142
FBgn0029958,2213.187232,-0.108484471,0.240129963,-0.451773986,0.651431812,0.816608478
FBgn0029959,2338.887711,0.438017537,0.254037257,1.724225578,0.084667128,0.237104842
FBgn0029961,1.357684682,-0.749957016,0.668776021,-1.121387419,0.262122989,NA
FBgn0029962,6366.58781,9.16619652,0.499264993,18.35938159,2.78E-75,8.68E-73
FBgn0029963,1.41337614,0.46100589,0.64457232,0.71521205,0.474478024,NA
FBgn0029964,0.227193651,0.300811499,0.627360644,0.47948736,0.631591958,NA
FBgn0029965,0.584130105,-0.809895332,0.63030433,-1.284927444,NA,NA
FBgn0029966,2.097498024,-0.74132922,0.649045777,-1.142183257,NA,NA
FBgn0029968,7.839448464,0.384954834,0.826003017,0.466045312,NA,NA
FBgn0029969,202.0194911,-0.9881216,0.429026159,-2.303173313,0.021269094,0.089600336
FBgn0029970,0.87096773,-0.29125297,0.637778607,-0.456667826,0.64790982,NA
FBgn0029971,0,NA,NA,NA,NA,NA
FBgn0029974,5620.057687,0.90380863,0.203878111,4.433083213,9.29E-06,0.000129452
FBgn0029975,7177.623854,0.420819059,0.195015682,2.157872919,0.030937713,0.118070264
FBgn0029976,1878.198538,0.010271825,0.402852654,0.025497722,0.979657965,0.992470425
FBgn0029977,48.86427241,-4.109680589,0.797708233,-5.151859313,2.58E-07,4.89E-06
FBgn0029979,18804.13696,0.090852753,0.209760129,0.433126895,0.664922585,0.825189036
FBgn0029980,559.8295674,-0.004274623,0.330778394,-0.012922922,0.989689287,0.996065753
FBgn0029986,29.15359145,-3.871601852,0.777777528,-4.977775405,6.43E-07,1.15E-05
FBgn0029987,6.816692852,-1.957666922,0.821716015,-2.382413006,0.017199595,0.076376928
FBgn0029989,23.56085084,-0.490514607,0.892577286,-0.54954861,0.582629015,0.768559249
FBgn0029990,211.8668873,-0.139316851,0.632113482,-0.220398481,0.825560828,0.916226866
FBgn0029992,821.3815509,-0.740968819,0.411882283,-1.798982013,0.072021526,0.212459833
FBgn0029993,1.628694652,-0.529201795,0.715412942,-0.739715155,0.459472851,NA
FBgn0029994,11.25713731,-0.562842406,0.892266093,-0.63080107,0.528170604,0.73149325
FBgn0029995,13.19268583,1.848083243,0.779481857,2.370912455,0.017744233,0.078150478
FBgn0029996,15304.84644,0.159010782,0.235896525,0.674070046,0.500266782,0.713527425
FBgn0029997,18124.74881,-0.324196154,0.262914373,-1.233086459,0.217543509,0.439781371
FBgn0029999,159.1224207,-1.056504347,0.443052338,-2.384603934,0.017097518,0.075958467
FBgn0030000,722.6183105,-1.118799818,0.457127721,-2.447455637,0.014386883,0.066130502
FBgn0030001,8.687987088,0.799718014,0.870255779,0.918945939,0.35812385,0.590069664
FBgn0030003,1143.771626,-0.29104163,0.293097877,-0.992984437,0.320717539,0.554643884
FBgn0030004,674.6501375,-0.334605964,0.323393382,-1.03467165,0.30082228,0.533992628
FBgn0030005,3.904206305,0.683009454,0.777640288,0.878310274,0.379775362,NA
FBgn0030006,268.6590097,-0.581798082,0.456650619,-1.274055169,0.202643865,0.422838093
FBgn0030007,1391.395016,-0.877877546,0.230345612,-3.811132056,0.000138332,0.001414724
FBgn0030008,129.2415726,-0.585036137,0.559585959,-1.045480373,0.295801007,0.527331614
FBgn0030009,0.630481818,-0.101180349,0.630596964,-0.160451691,0.872525274,NA
FBgn0030010,548.9304235,0.381068407,0.348409417,1.093737392,0.27407017,0.505401675
FBgn0030011,9870.108179,0.34003595,0.202519423,1.679028831,0.093146425,0.253619096
FBgn0030012,342.5756704,-0.538503189,0.382749736,-1.40693288,0.159447293,0.363780219
FBgn0030013,3129.483044,0.011917152,0.208525636,0.057149578,0.954426044,0.981067314
FBgn0030014,0.374595763,0.462415816,0.629390937,0.734703645,0.46252,NA
FBgn0030015,0,NA,NA,NA,NA,NA
FBgn0030016,26.71520907,3.865193571,0.86259965,4.48086615,7.43E-06,0.000106823
FBgn0030017,2007.471396,0.287572101,0.277255933,1.037208105,0.299638882,0.532653622
FBgn0030018,2893.517655,0.151754894,0.210898225,0.719564588,0.471793122,0.690300423
FBgn0030025,647.0460559,-0.554738127,0.346650209,-1.600282106,0.109536015,0.284488148
FBgn0030026,1146.345622,-0.50339409,0.347079036,-1.450373079,0.14695451,0.344525692
FBgn0030027,12.15921554,-0.197107125,0.892394731,-0.220874371,0.825190253,0.916226866
FBgn0030028,21.9903159,-0.151911408,0.867959095,-0.175021391,0.861062826,0.934531884
FBgn0030029,40.49024509,-1.04475263,0.761024079,-1.372824671,0.169806859,0.378682139
FBgn0030030,4831.867403,-0.575263963,0.240047167,-2.39646221,0.0165542,0.074088462
FBgn0030033,30.86778665,0.379630141,0.891619761,0.425775827,0.670271203,0.828429888
FBgn0030034,2812.770175,0.236524209,0.359989663,0.657030557,0.511161268,0.719572042
FBgn0030035,2048.511854,-0.170240717,0.285623937,-0.596030987,0.551154526,0.746668288
FBgn0030037,2975.768436,0.069015285,0.31353587,0.220119263,0.825778273,0.916226866
FBgn0030038,1224.530563,0.526488313,0.254254675,2.07071242,0.038385679,0.137946308
FBgn0030039,1272.284481,0.344326089,0.250097877,1.376765339,0.16858481,0.377169248
FBgn0030040,0.943315555,-0.065685671,0.636047583,-0.10327163,NA,NA
FBgn0030041,69.56543172,-3.108295043,0.593563339,-5.236669512,1.64E-07,3.24E-06
FBgn0030048,225.3926985,-0.496635138,0.514090091,-0.966046899,0.334020714,0.566700632
FBgn0030049,3365.324341,0.302011897,0.293756232,1.028103794,0.303901006,0.537291209
FBgn0030050,0.603134782,0.442152927,0.6354966,0.695759705,NA,NA
FBgn0030051,0.416104186,-0.520596398,0.627360644,-0.829819982,0.406640572,NA
FBgn0030052,11.43059324,-0.828900899,0.844374655,-0.981674301,0.32626033,0.560452518
FBgn0030053,2304.644756,-0.139706868,0.184952945,-0.755364388,0.450030374,0.670751643
FBgn0030054,7.079216944,-0.707449371,0.810110579,-0.873275068,0.382513167,0.610578413
FBgn0030055,1544.365191,-0.493377649,0.43116912,-1.144278722,0.252508065,0.481879923
FBgn0030056,1320.055604,0.184461702,0.266349964,0.692553886,0.488589558,0.704479659
FBgn0030057,77.5620475,0.031936649,0.632571561,0.050487014,0.959734297,0.983600706
FBgn0030058,84.08867735,-2.257449904,0.773395626,-2.918881135,0.003512901,0.021753485
FBgn0030060,204.0704489,0.735584759,0.434652025,1.692353232,0.090578644,0.249219933
FBgn0030061,288.878691,-0.772490988,0.417626246,-1.849718487,0.064354135,0.196760272
FBgn0030063,735.2338716,0.077551413,0.387388048,0.200190515,0.841331585,0.924681843
FBgn0030065,26.53852966,-0.42395465,0.838161823,-0.505814794,0.612986672,0.791177567
FBgn0030066,691.6996605,-0.0651608,0.346305595,-0.188159824,0.850751366,0.928785518
FBgn0030067,86.54008431,-0.101154062,0.593506888,-0.170434521,0.864668426,0.936514617
FBgn0030071,0.169380158,0.163910183,0.627360644,0.26126947,0.793884709,NA
FBgn0030073,21.21819796,-3.306714393,0.861324133,-3.839105706,0.000123483,0.001281817
FBgn0030074,205.1612432,-6.892191412,0.623000013,-11.06290734,1.90E-28,1.28E-26
FBgn0030077,17.38392499,-1.675633805,0.843495942,-1.98653452,0.046974004,0.157973611
FBgn0030078,1.82359276,-0.781451026,0.776746751,-1.006056383,0.314388449,NA
FBgn0030081,305.3189179,-0.543130548,0.434162011,-1.250985885,0.210939627,0.432461958
FBgn0030082,1323.515758,0.709265881,0.347966886,2.038314305,0.04151851,0.145585363
FBgn0030085,68.6924637,-0.936004725,0.66938378,-1.398308045,0.162020583,0.368004068
FBgn0030086,535.4477005,1.173877731,0.310468589,3.780987104,0.000156208,0.001561272
FBgn0030087,6284.018561,0.057654336,0.26251555,0.219622555,0.826165124,0.916226866
FBgn0030088,902.1210125,0.93100316,0.318585778,2.922299812,0.003474569,0.021557464
FBgn0030089,5760.534703,0.021471858,0.235091839,0.091333914,0.927227271,0.965977961
FBgn0030090,2546.339453,-0.414285511,0.293149293,-1.413223638,0.157589978,0.361066395
FBgn0030091,1032.885715,-0.338734411,0.310828571,-1.089778878,0.27581056,0.507413569
FBgn0030092,558.5317675,0.602682372,0.351857382,1.712859817,0.086738332,0.241270219
FBgn0030093,1410.373849,0.610297548,0.203552669,2.998229162,0.002715534,0.017580178
FBgn0030096,877.0050543,-0.467014556,0.321138078,-1.454248464,0.145877433,0.343084735
FBgn0030097,2.684742875,-0.0283408,0.643970399,-0.044009476,NA,NA
FBgn0030098,1.889117872,-0.47537966,0.683740407,-0.695263371,0.486890265,NA
FBgn0030099,1118.687462,-0.928611581,0.365504961,-2.540626474,0.011065406,0.05462205
FBgn0030100,526.9562664,-0.697982901,0.385505988,-1.810563059,0.070208515,0.208579591
FBgn0030101,1097.531986,0.067880785,0.258101977,0.262999863,0.792550685,0.900393359
FBgn0030102,3.50196112,-0.092421959,0.648297807,-0.142560962,NA,NA
FBgn0030103,0.526724306,-0.659008088,0.630212445,-1.045691963,0.295703275,NA
FBgn0030104,0.166046153,-0.10989245,0.627360644,-0.175166311,0.860948955,NA
FBgn0030105,0.628023734,0.373410188,0.636028169,0.587096935,0.557138606,NA
FBgn0030107,0.8072282,0.633776234,0.638034707,0.993325641,0.320551286,NA
FBgn0030108,39.92211352,-0.003435895,0.820784255,-0.004186113,0.996659975,0.998851458
FBgn0030109,3418.754739,-0.280903005,0.35774157,-0.78521209,0.432329228,0.656183761
FBgn0030114,1197.390287,0.367483667,0.259632987,1.415396675,0.156952224,0.360123736
FBgn0030116,0.659861322,-0.61882785,0.633274586,-0.977187247,NA,NA
FBgn0030117,0.221394871,-0.10989245,0.627360644,-0.175166311,0.860948955,NA
FBgn0030120,13.36580885,0.781839221,0.888458023,0.879995679,0.378861651,0.608015817
FBgn0030121,1133.189177,0.13999447,0.26707947,0.524167845,0.600161804,0.781259014
FBgn0030122,249.3155485,-0.295595958,0.451719195,-0.654379892,0.512867086,0.720707738
FBgn0030136,3797.783326,-0.634458769,0.407234565,-1.557968857,0.119240631,0.300976156
FBgn0030137,371.4792009,0.08538353,0.377700314,0.226061579,0.821153526,0.915175133
FBgn0030141,1134.028955,-0.32806672,0.334781716,-0.979942168,0.327114667,0.56152172
FBgn0030148,5.305788024,-0.204289954,0.89320974,-0.228714427,0.819090881,NA
FBgn0030151,1131.637378,-0.473908911,0.326806306,-1.450121684,0.147024589,0.344527739
FBgn0030156,1.082268565,-0.520251699,0.640833032,-0.811836583,0.416885408,NA
FBgn0030157,4.68003487,-0.009347344,0.679702108,-0.013752119,0.989027742,NA
FBgn0030158,58.97497904,-1.55107429,0.751913124,-2.062837102,0.039128108,0.139887679
FBgn0030159,4.413955384,0.005623978,0.654106647,0.008597952,NA,NA
FBgn0030160,2.858943987,-0.67671638,0.764938852,-0.884667289,NA,NA
FBgn0030161,4.301952829,0.31961888,0.699149308,0.457153968,NA,NA
FBgn0030162,1.783758406,-0.37021472,0.646042039,-0.57305051,0.566610495,NA
FBgn0030163,0.146032526,-0.383695082,0.627360644,-0.611602091,0.540801054,NA
FBgn0030164,0.229354022,-0.383695082,0.627360644,-0.611602091,0.540801054,NA
FBgn0030167,6.721424853,-0.786964939,0.847938976,-0.928091481,0.353360118,0.585908705
FBgn0030170,3.216615754,-0.355635304,0.791781626,-0.449158319,0.653317453,NA
FBgn0030174,7406.772708,0.138034463,0.285846834,0.482896594,0.62916916,0.801565814
FBgn0030177,527.7722295,-0.614719899,0.282727453,-2.174249062,0.029686436,0.114684136
FBgn0030178,379.1437503,-1.170028482,0.316337118,-3.698675919,0.000216727,0.002072065
FBgn0030181,12.05324849,-0.466943737,0.897760374,-0.52012068,0.602979465,0.783347568
FBgn0030183,4018.781169,0.361854055,0.355354026,1.018291699,0.308539352,0.542986113
FBgn0030186,0,NA,NA,NA,NA,NA
FBgn0030187,39.06808538,-0.633510011,0.794677871,-0.797190955,0.425340138,0.649455867
FBgn0030189,785.8374228,0.396565486,0.330131652,1.201234369,0.229660301,0.4547659
FBgn0030191,2.946501251,-0.016504868,0.701068463,-0.023542448,NA,NA
FBgn0030195,13.76547698,-0.558072366,0.891886407,-0.62572135,0.531497727,0.734525612
FBgn0030196,1106.793628,2.089002407,0.321289322,6.501935364,7.93E-11,2.29E-09
FBgn0030200,0.490090293,-0.110527358,0.627721988,-0.176076926,NA,NA
FBgn0030202,16.45042939,0.131637408,0.895741414,0.146959163,0.883164254,0.94492331
FBgn0030204,5.350577652,0.258086429,0.825836853,0.312515031,NA,NA
FBgn0030206,1834.591753,0.385685386,0.217820198,1.770659423,0.076617354,0.221874864
FBgn0030207,1.611246999,-0.309636498,0.644703196,-0.480277591,NA,NA
FBgn0030208,1319.475,-0.333113498,0.275308968,-1.209962395,0.226293323,0.450956962
FBgn0030215,0.355777027,-0.213675574,0.628842633,-0.339791807,0.734013319,NA
FBgn0030217,300.2525202,-0.486618107,0.531413642,-0.915704959,0.359821663,0.591860192
FBgn0030218,72.28666141,-1.20644683,0.646598314,-1.865836647,0.062064223,0.191919541
FBgn0030221,1.112417286,0.074061272,0.643445808,0.115101025,0.908365048,NA
FBgn0030222,33.37239805,-1.361157956,0.890972217,-1.52772211,0.126581548,0.313139794
FBgn0030223,89.35807501,0.46986503,0.826696955,0.568364293,0.569787631,0.760375636
FBgn0030224,134.6065443,1.160827302,0.483082582,2.402958302,0.016263042,0.073055454
FBgn0030228,1516.084006,-0.032321122,0.416123526,-0.077671942,0.938089014,0.97242771
FBgn0030230,3210.456136,-3.927725884,0.324059022,-12.12040283,8.24E-34,6.82E-32
FBgn0030234,5.552446088,0.129468437,0.872453953,0.148395726,0.882030473,NA
FBgn0030237,46.10477114,0.88811398,0.604929565,1.468127913,0.142069481,0.338111289
FBgn0030239,70.49168253,-0.420683454,0.493155784,-0.85304374,0.393635049,0.620399585
FBgn0030240,852.5342644,0.22706779,0.325710021,0.697147081,0.485710753,0.702357902
FBgn0030241,24.93202165,0.421171837,0.857568164,0.491123452,0.623339135,0.797706068
FBgn0030242,84.42716341,1.356000258,0.861625245,1.573770344,0.115540553,0.294437435
FBgn0030243,8426.644613,-0.001385266,0.251623521,-0.005505314,0.995607418,0.998851458
FBgn0030244,21.25276281,1.20110989,0.677403096,1.773109539,0.076210558,0.221120992
FBgn0030245,7779.826611,0.009785004,0.188858716,0.05181124,0.958679099,0.983133892
FBgn0030246,890.8350621,-0.545547564,0.406795969,-1.341083997,0.179893182,0.392667449
FBgn0030247,0,NA,NA,NA,NA,NA
FBgn0030251,25.57866122,-1.013278841,0.863635299,-1.173271683,0.240686874,0.468270867
FBgn0030257,9.340733767,-1.537028385,0.891304753,-1.724470087,0.084623015,0.237104842
FBgn0030258,105.3337599,0.793549583,0.643048498,1.234043133,0.217186832,0.439674317
FBgn0030259,51.2116047,0.329062147,0.713637281,0.461105601,0.644722843,0.81196003
FBgn0030260,13.63452673,0.725608484,0.89651929,0.80936182,0.418307057,0.642036146
FBgn0030261,15.12656528,1.364555415,0.896746646,1.521673285,0.128090965,0.315291566
FBgn0030262,0,NA,NA,NA,NA,NA
FBgn0030263,0,NA,NA,NA,NA,NA
FBgn0030266,5071.777852,-0.869768611,0.390637509,-2.226536343,0.025978277,0.104095828
FBgn0030268,5212.696912,-0.21743113,0.272472904,-0.797991753,0.424875276,0.649245353
FBgn0030269,1533.251061,0.230589564,0.245738983,0.938351586,0.348063757,0.580377347
FBgn0030270,1.827565911,-0.547773439,0.689718348,-0.794198735,NA,NA
FBgn0030271,38.89467641,1.674918707,0.720467408,2.324766793,0.020084434,0.085792172
FBgn0030272,213.6427647,-2.120943953,0.638178473,-3.323433872,0.000889165,0.006840002
FBgn0030274,1297.518672,-0.25059934,0.214728122,-1.167054124,0.243188513,0.470867802
FBgn0030276,12533.02379,-0.262730796,0.24563135,-1.069614266,0.284792971,0.516907782
FBgn0030277,10.38258824,-2.364946068,0.895861062,-2.639858084,0.008294075,0.043632872
FBgn0030278,3.823253355,-0.802657573,0.747760178,-1.073415778,0.283084609,NA
FBgn0030280,0.518864851,0.023511923,0.630379426,0.03729805,NA,NA
FBgn0030283,11.72986529,-1.793903948,0.891017656,-2.013320314,0.044080943,0.151606509
FBgn0030286,5403.864713,0.086951804,0.350063211,0.248388867,0.803833547,0.906084757
FBgn0030289,1825.659421,-0.388863977,0.435600892,-0.892707027,0.372014086,0.601495229
FBgn0030290,4.967851179,1.890527102,0.803681042,2.352335073,0.018655961,NA
FBgn0030291,362.2997907,0.04610592,0.461357885,0.09993526,0.920395723,0.963470879
FBgn0030292,5647.564153,-0.106393718,0.44491137,-0.239134634,0.811001187,0.910963574
FBgn0030293,1552.759553,-0.205017733,0.355293035,-0.577038425,0.563913499,0.756860066
FBgn0030294,2827.483101,1.410279367,0.292049382,4.828907221,1.37E-06,2.33E-05
FBgn0030296,11.46086788,0.296817532,0.895785896,0.331348744,0.740381076,0.8739294
FBgn0030297,3.875297247,-0.008957996,0.658799791,-0.013597447,0.989151141,NA
FBgn0030298,0,NA,NA,NA,NA,NA
FBgn0030300,114.1408233,0.296308784,0.673663151,0.439847101,0.660047851,0.821718635
FBgn0030301,2692.327102,0.040729336,0.214782404,0.189630693,0.849598534,0.928785518
FBgn0030304,33.82110888,0.379991671,0.895750563,0.424215944,0.671408334,0.829094697
FBgn0030305,331.0555322,-0.316092309,0.335870656,-0.941113205,0.346646849,0.579439892
FBgn0030306,964.402846,0.375351198,0.426921708,0.879203823,0.379290772,0.608083285
FBgn0030307,0.513133907,0.117057748,0.631423674,0.185387012,0.852925495,NA
FBgn0030309,86.64025464,1.941775366,0.782886924,2.480275639,0.013128085,0.061626029
FBgn0030310,2.629851475,0.467618101,0.659266381,0.709300694,0.478137898,NA
FBgn0030311,0,NA,NA,NA,NA,NA
FBgn0030313,0.492749123,-0.501435862,0.630218981,-0.795653379,0.426233532,NA
FBgn0030314,534.3988595,-0.129793343,0.241298774,-0.537894748,0.590649714,0.773007299
FBgn0030316,1346.93781,0.438425224,0.246253286,1.780383245,0.075013262,0.218431582
FBgn0030317,1.66137565,-0.61393135,0.645963762,-0.95041144,0.341903233,NA
FBgn0030318,375.7482007,0.665291437,0.418688615,1.588988602,0.112062966,0.288688465
FBgn0030319,27.19692669,0.86607209,0.839305895,1.03189087,0.302123243,0.535222903
FBgn0030320,1802.943125,0.452702015,0.254167041,1.78112006,0.074892839,0.218146511
FBgn0030321,854.267928,-0.036825576,0.295326203,-0.124694578,0.90076535,0.954894091
FBgn0030323,1919.586411,-0.215922545,0.245473533,-0.879616398,0.379067152,0.608048072
FBgn0030326,4.193848609,1.860423138,0.845904638,2.199329633,NA,NA
FBgn0030327,6780.017448,-0.194935017,0.372264366,-0.523646727,0.600524275,0.781625804
FBgn0030328,8846.094704,-0.242472782,0.269576747,-0.899457335,0.368409112,0.598904725
FBgn0030329,4796.592847,-0.149792208,0.203247356,-0.73699462,0.461125621,0.680792933
FBgn0030330,3636.37777,0.230978962,0.264320248,0.873860266,0.382194355,0.610324889
FBgn0030331,2.349414839,-0.205947536,0.829385566,-0.248313384,0.803891945,NA
FBgn0030332,19.37316075,-0.348744061,0.880191978,-0.396213633,0.691947435,0.841992012
FBgn0030334,2.1166155,-0.372743509,0.772108868,-0.482760301,0.629265942,NA
FBgn0030336,4873.558953,-0.506151623,0.278933659,-1.814595002,0.069586171,0.207175551
FBgn0030338,0,NA,NA,NA,NA,NA
FBgn0030339,4.454106849,0.96200982,0.820915375,1.171874531,0.241247434,NA
FBgn0030340,0.543771994,-0.374639089,0.6282504,-0.59632129,0.550960611,NA
FBgn0030341,4036.311582,0.512217508,0.335893619,1.524939683,0.127274143,0.314053802
FBgn0030342,390.8155516,-0.720120513,0.54639684,-1.31794414,0.187522348,0.402619166
FBgn0030343,560.0154988,0.137173536,0.388211686,0.353347263,0.723828117,0.863547095
FBgn0030344,625.4794545,-0.618505947,0.52266583,-1.183367864,0.236663388,0.462766991
FBgn0030345,3824.069368,0.602458971,0.231205182,2.605732993,0.00916779,0.047304232
FBgn0030346,2938.100744,0.375104612,0.233320618,1.607678801,0.107905544,0.281385351
FBgn0030347,2.912519393,0.577739545,0.651521343,0.886754595,NA,NA
FBgn0030348,10.53533529,-1.114020413,0.892578595,-1.248092235,0.211997282,0.43343755
FBgn0030349,5903.537751,-1.508816435,0.224659012,-6.716028967,1.87E-11,5.69E-10
FBgn0030350,489.9489821,-0.27737755,0.327516927,-0.846910579,0.397044966,0.623642636
FBgn0030351,112.6869455,0.860936165,0.562952206,1.529323725,0.126184211,0.312434479
FBgn0030352,2107.067781,0.395450065,0.294491386,1.342823878,0.17932901,0.391831235
FBgn0030354,2507.55275,-0.594785495,0.332318585,-1.789805089,0.073485251,0.215081491
FBgn0030356,0.424607463,-0.091125191,0.629057041,-0.144859981,0.884821424,NA
FBgn0030357,1.678814805,0.530358027,0.646310723,0.820592957,NA,NA
FBgn0030358,2064.797701,0.300358745,0.298897208,1.004889764,0.314949934,0.549160192
FBgn0030359,6.881704208,-0.51348568,0.795028457,-0.645870818,NA,NA
FBgn0030360,11.27239477,1.25371384,0.873481695,1.435306369,0.151199814,0.350915456
FBgn0030361,3404.439494,-0.211928823,0.261431384,-0.810647979,0.417567855,0.641567724
FBgn0030362,364.6545536,-1.602270732,0.439503967,-3.645634287,0.000266733,0.002476807
FBgn0030364,4264.69616,-0.191976803,0.209024976,-0.91843954,0.358388798,0.590281121
FBgn0030365,843.4478072,-0.10245424,0.29655871,-0.345477091,0.72973573,0.866835198
FBgn0030366,6714.215792,-0.543943825,0.35943936,-1.513311799,0.130200477,0.318673647
FBgn0030367,1.160306168,-0.542508011,0.630155815,-0.860910901,0.389287117,NA
FBgn0030369,0.638681315,-0.430927948,0.633596279,-0.680130175,0.496422039,NA
FBgn0030370,0.486638567,0.219544478,0.633314237,0.346659628,0.728847044,NA
FBgn0030373,1.160393052,0.249999736,0.642232145,0.389266931,0.697078696,NA
FBgn0030374,0,NA,NA,NA,NA,NA
FBgn0030375,0.511153861,0.01377243,0.630074458,0.021858416,NA,NA
FBgn0030376,1.734723051,-0.911662919,0.697899688,-1.306295066,0.191452234,NA
FBgn0030377,70.39828702,-3.938293745,0.646365953,-6.09297833,1.11E-09,2.82E-08
FBgn0030384,11.58816627,2.24012728,0.887230496,2.524853791,0.011574643,0.056473764
FBgn0030385,2.748268492,-0.201809816,0.691704227,-0.291757384,0.770472131,NA
FBgn0030386,2.212640929,0.578823829,0.648037845,0.893194485,0.371753031,NA
FBgn0030389,1.256868471,0.269003598,0.642388602,0.418755247,NA,NA
FBgn0030390,2.640443698,-0.695785272,0.7101039,-0.979835869,0.327167143,NA
FBgn0030391,1675.734625,0.481994618,0.271327692,1.776429875,0.075662091,0.219948675
FBgn0030394,2.532147299,0.097728371,0.65160353,0.149981341,0.880779337,NA
FBgn0030395,2.992257034,-0.508180529,0.651690941,-0.779787622,NA,NA
FBgn0030396,24.02077882,-0.004468145,0.873829723,-0.00511329,0.995920203,0.998851458
FBgn0030398,224.4067991,-0.050894547,0.48280491,-0.105414311,0.916047061,0.961479288
FBgn0030400,15271.62753,0.169561747,0.29866968,0.567723335,0.570222844,0.760375636
FBgn0030403,1922.009371,-0.165056295,0.355886548,-0.463789079,0.642798868,0.810612896
FBgn0030406,8583.36041,5.258805684,0.301793001,17.42520756,5.31E-68,1.22E-65
FBgn0030407,984.9444331,4.026379265,0.344395161,11.69116098,1.41E-31,1.10E-29
FBgn0030408,935.4946148,8.346972198,0.518866134,16.08694738,3.15E-58,5.55E-56
FBgn0030409,427.9954313,2.523964208,0.838661666,3.009514219,NA,NA
FBgn0030410,506.2198758,-0.389052581,0.224977645,-1.729294397,0.083756419,0.235677723
FBgn0030411,1233.310258,0.328245547,0.285414582,1.150065788,0.250116776,0.479579256
FBgn0030412,50534.90559,-0.516848768,0.260943335,-1.980693505,0.047625656,0.159383025
FBgn0030417,330.750464,-1.350515841,0.304290396,-4.438246687,9.07E-06,0.000127301
FBgn0030418,2241.740526,0.305866343,0.295879353,1.033753589,0.301251373,0.534437195
FBgn0030420,1261.154933,1.234404908,0.431540502,2.860461306,0.004230252,0.025333827
FBgn0030421,1344.277004,-0.560935631,0.238796583,-2.349010287,0.018823387,0.081714254
FBgn0030425,56.18432496,0.471530156,0.792951772,0.594651747,0.552076283,0.747427472
FBgn0030429,95.23629771,0.091097182,0.547866533,0.166276231,0.86793957,0.937463597
FBgn0030431,3416.819821,-0.090827032,0.194705614,-0.46648389,0.640869176,0.81005041
FBgn0030432,3150.923421,-1.314831661,0.235520654,-5.582659676,2.37E-08,5.23E-07
FBgn0030433,1511.230645,0.348346113,0.405741171,0.85854268,0.390592874,0.618074913
FBgn0030434,2142.373043,0.947381296,0.258351753,3.667020977,0.000245393,0.002311895
FBgn0030435,3323.224209,0.693249468,0.232301203,2.984269814,0.00284256,0.018243998
FBgn0030437,54.45718151,-3.695116917,0.800449158,-4.616304331,3.91E-06,6.00E-05
FBgn0030438,0.201381244,-0.383695082,0.627360644,-0.611602091,0.540801054,NA
FBgn0030439,137.2770176,-1.614469854,0.797611682,-2.024130151,0.042956762,0.14890345
FBgn0030440,6.800027701,-0.553254536,0.874828434,-0.6324149,0.5271158,0.730860874
FBgn0030441,5.272688857,-0.164522452,0.891584437,-0.184528178,0.853599124,NA
FBgn0030443,4.987789154,-0.448564721,0.763826469,-0.587259985,0.557029111,NA
FBgn0030447,910.73205,0.129654335,0.332797799,0.38958892,0.696840547,0.845514996
FBgn0030449,1.291496029,0.328546797,0.644990232,0.509382594,NA,NA
FBgn0030451,0,NA,NA,NA,NA,NA
FBgn0030452,3.725469009,0.164223704,0.81192586,0.202264409,NA,NA
FBgn0030455,12.43673376,-0.30003885,0.821371762,-0.36528995,NA,NA
FBgn0030456,237.0423199,0.12523428,0.427786522,0.292749476,0.769713649,0.888834127
FBgn0030457,1033.182997,0.142168671,0.307457428,0.462401158,0.643793669,0.81123363
FBgn0030459,17.13584792,1.156751528,0.872162335,1.326303008,0.184739351,0.39928601
FBgn0030460,733.690638,0.487265824,0.344716865,1.413524762,0.157501486,0.360956434
FBgn0030462,0,NA,NA,NA,NA,NA
FBgn0030465,1279.415782,0.825058911,0.284111555,2.903996322,0.003684325,0.022555428
FBgn0030466,287.5339092,0.174117162,0.469013594,0.371241183,0.710457902,0.854013253
FBgn0030467,1997.433843,0.096354929,0.277268533,0.347514835,0.728204576,0.866287864
FBgn0030468,1598.33134,0.323996627,0.300849931,1.076937683,0.281508107,0.513640922
FBgn0030474,2402.752719,1.099187907,0.240530989,4.569839045,4.88E-06,7.35E-05
FBgn0030477,210.354595,-1.143284965,0.451820563,-2.530396045,0.011393384,0.05578611
FBgn0030478,9012.226633,0.400763063,0.283954054,1.411365881,0.158136758,0.362155238
FBgn0030479,15355.74319,-0.407324491,0.259480159,-1.569771238,0.116468341,0.296217407
FBgn0030480,960.4121052,0.554271471,0.490639263,1.129692448,0.25860584,0.488601412
FBgn0030481,1499.274352,-0.605832197,0.281486231,-2.152262279,0.031376703,0.1192167
FBgn0030482,3.116528416,-0.457573139,0.810713438,-0.564407986,0.572476505,NA
FBgn0030483,0.886636399,-0.57129605,0.633154667,-0.902300939,0.366897027,NA
FBgn0030484,124.168118,-0.834745829,0.546881925,-1.526373045,0.126916987,0.313729202
